participant,TargetHit_L0,TargetHit_L1,TargetHit_L2,TargetMiss_L0,TargetMiss_L1,TargetMiss_L2,LureFA_L0,LureFA_L1,LureFA_L2,LureCR_L0,LureCR_L1,LureCR_L2,FoilFA_L0,FoilFA_L1,FoilFA_L2,FoilCR_L0,FoilCR_L1,FoilCR_L2,Age,age
5b5b02c14e945800017d5da1,0.8,0.85,0.75,0.2,0.15,0.25,0.631578947,0.631578947,0.578947368,0.368421053,0.368421053,0.421052632,0.1,0.1,0.105263158,0.9,0.9,0.894736842,32,young
5b5e0e86902ad10001cfcc59,0.7,0.8,0.6,0.3,0.2,0.4,0.2,0.473684211,0.5,0.8,0.526315789,0.5,0.1,0.15,0.2,0.9,0.85,0.8,35,young
5b5f1cd27757ed000198dcb0,0.8,0.9,0.85,0.2,0.1,0.15,0.35,0.4,0.55,0.65,0.6,0.45,0.1,0.166666667,0.1,0.9,0.833333333,0.9,24,young
5b65dd7bcda8590001dada98,0.85,0.85,0.8,0.15,0.15,0.2,0.421052632,0.65,0.7,0.578947368,0.35,0.3,0.25,0.3,0.35,0.75,0.7,0.65,22,young
5b6baad47e435d0001c1c88f,0.9,0.8,0.65,0.1,0.2,0.35,0.3,0.45,0.45,0.7,0.55,0.55,0.15,0.1,0.25,0.85,0.9,0.75,21,young
5b6f49b7d60bdd0001ade437,0.75,0.85,0.7,0.25,0.15,0.3,0.55,0.315789474,0.4,0.45,0.684210526,0.6,0.1,0.15,0.2,0.9,0.85,0.8,66,old
5b73dc45a6cbce0001228d87,0.85,0.842105263,0.85,0.15,0.157894737,0.15,0.263157895,0.35,0.4,0.736842105,0.65,0.6,0.1,0.1,0.1,0.9,0.9,0.9,31,young
5b7f28ee4570a7000120ad3f,0.9,0.9,0.789473684,0.1,0.1,0.210526316,0.35,0.388888889,0.388888889,0.65,0.611111111,0.611111111,0.15,0.15,0.1,0.85,0.85,0.9,67,old
5b8646582c180900019c9eb7,0.777777778,0.631578947,0.611111111,0.222222222,0.368421053,0.388888889,0.45,0.5,0.421052632,0.55,0.5,0.578947368,0.1,0.157894737,0.277777778,0.9,0.842105263,0.722222222,23,young
5b881d46a55bb900018b07ca,0.85,0.85,0.85,0.15,0.15,0.15,0.555555556,0.6,0.7,0.444444444,0.4,0.3,0.1,0.3,0.6,0.9,0.7,0.4,28,young
5b8865607ea024000109663f,0.85,0.789473684,0.8,0.15,0.210526316,0.2,0.55,0.578947368,0.75,0.45,0.421052632,0.25,0.1,0.15,0.368421053,0.9,0.85,0.631578947,29,young
5b955c95a2980c0001c476b6,0.85,0.85,0.9,0.15,0.15,0.1,0.35,0.473684211,0.65,0.65,0.526315789,0.35,0.105263158,0.15,0.3,0.894736842,0.85,0.7,32,young
5b9a16df2b00aa0001b2be06,0.722222222,0.526315789,0.6,0.277777778,0.473684211,0.4,0.421052632,0.45,0.6,0.578947368,0.55,0.4,0.2,0.2,0.157894737,0.8,0.8,0.842105263,24,young
5b9ce9e980ebc0000117f24d,0.8,0.8,0.75,0.2,0.2,0.25,0.25,0.4,0.65,0.75,0.6,0.35,0.15,0.1,0.1,0.85,0.9,0.9,21,young
5ba1018bc4a1ab0001d98e49,0.85,0.75,0.75,0.15,0.25,0.25,0.5,0.526315789,0.6,0.5,0.473684211,0.4,0.1,0.15,0.25,0.9,0.85,0.75,27,young
5ba28dbd6baa81000182871f,0.85,0.85,0.8,0.15,0.15,0.2,0.45,0.631578947,0.7,0.55,0.368421053,0.3,0.105263158,0.157894737,0.15,0.894736842,0.842105263,0.85,30,young
5bc1a7ac1f8dd800015f89f5,0.9,0.764705882,0.8,0.1,0.235294118,0.2,0.631578947,0.736842105,0.647058824,0.368421053,0.263157895,0.352941176,0.1,0.1,0.3,0.9,0.9,0.7,65,old
5bc4b7b3e31c5b0001f26d98,0.8,0.6,0.8,0.2,0.4,0.2,0.368421053,0.368421053,0.45,0.631578947,0.631578947,0.55,0.1,0.105263158,0.15,0.9,0.894736842,0.85,18,young
5bc53ba2f8f76e00013cf1ee,0.75,0.75,0.6,0.25,0.25,0.4,0.45,0.578947368,0.5,0.55,0.421052632,0.5,0.1,0.25,0.4,0.9,0.75,0.6,26,young
